SNname,HostName,redshift,type,data_file,download_url
SN2011gu,NGC 7485,0.019033,Ia,SN2011gu_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2011gu_uvotB15.1.dat
SN2011hb,NGC 7674,0.028924,Ia,SN2011hb_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2011hb_uvotB15.1.dat
SN2011ia,MCG +11-12-23,0.019,Ia,SN2011ia_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2011ia_uvotB15.1.dat
SN2011im,NGC 7364,0.016228,Ia,SN2011im_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2011im_uvotB15.1.dat
SN2011iv,NGC 1404,0.006494,Ia,SN2011iv_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2011iv_uvotB15.1.dat
SN2012G,A123936+1635,0.026635,Ia,SN2012G_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2012G_uvotB15.1.dat
SN2012T,NGC 5421,0.026315,Ia,SN2012T_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2012T_uvotB15.1.dat
SN2012V,NGC 6829,0.010964,Ia,SN2012V_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2012V_uvotB15.1.dat
SN2012Z,NGC 1309,0.007125,Ia-02cx,SN2012Z_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2012Z_uvotB15.1.dat
SN2012bl,ESO 234-G19,0.018706,Ia,SN2012bl_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2012bl_uvotB15.1.dat
SN2012cg,NGC 4424,0.001458,Ia-99aa,SN2012cg_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2012cg_uvotB15.1.dat
SN2012cp,UGC 8713,0.016531,Ia,SN2012cp_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2012cp_uvotB15.1.dat
SN2012cu,NGC 4772,0.003469,Ia,SN2012cu_uvotB25.0.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2012cu_uvotB25.0.dat
SN2012da,PGC 83768,0.018012,Ia,SN2012da_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2012da_uvotB15.1.dat
