Parameter Name                 Value
m0                             2.720020019788597e-01
m0                             1.438276078688635e-01
m0                             2.203941746265461e-01
m0                             1.635013641982545e-01
m0                             1.703688601720267e-01
m0                             2.304327719794785e-01
m0                             2.051770332808393e-01
m0                             2.177712897110652e-01
m0                             1.763671795980511e-01
m0                             1.956465690825965e-01
m0                             1.869104026152706e-01
m0                             1.974758068717572e-01
m0                             1.464298202511111e-01
m0                             6.404061320235623e-02
m0                             1.121736453172948e-01
m0                             1.585240867604236e-01
m0                             1.647253639595746e-01
m0                             1.528910600819592e-01
m0                             1.348909545143520e-01
m0                             1.256252155153238e-01
m0                             1.116477991400347e-01
m0                             1.027950293421726e-01
m0                             9.138789880016145e-02
m0                             8.710556114460520e-02
m0                             8.105286560977293e-02
m0                             7.840658914056145e-02
m0                             7.595328027285332e-02
m0                             7.355738317190820e-02
m0                             7.057473622208793e-02
m0                             6.961420847212443e-02
m0                             6.309929106902860e-02
m0                             5.994263130381221e-02
m0                             4.930352973716684e-02
m0                             4.518800698140631e-02
m0                             5.224108037069053e-02
m0                             5.125949435206636e-02
m0                             5.558101031095770e-02
m0                             6.109541637686364e-02
m0                             6.091466989910158e-02
m0                             5.159491121247726e-02
m0                             5.040609771122564e-02
m0                             4.189501919238742e-02
m0                             5.336585203375696e-02
m0                             3.686382518681071e-02
m0                             4.434862626161432e-02
m0                             4.182736899674247e-02
m0                             5.196605384500597e-02
m0                             5.570055108215684e-02
m0                             5.349813354881088e-02
m0                             5.447962536187441e-02
m0                             5.186922753966470e-02
m0                             4.683616367932560e-02
m0                             4.374605752680585e-02
m0                             3.360056245101901e-02
m0                             3.953954052591530e-02
m0                             3.209424112837952e-02
m0                             3.430665790216886e-02
m0                             3.478586145657927e-02
m0                             3.058304523228318e-02
m0                             3.311789103330635e-02
m0                             2.593489335825189e-02
m0                             3.058964702831510e-02
m0                             2.067597499561808e-02
m0                             2.601311865608041e-02
m0                             1.824194154842877e-02
m0                             2.092686171280508e-02
m0                             1.882640381845628e-02
m0                             1.767121759488374e-02
m0                             1.621601243804339e-02
m0                             1.435958157133478e-02
m0                             1.473907797970872e-02
m0                             1.183732535532600e-02
m0                             9.749925243951791e-03
m0                             8.825466598840360e-03
m0                             8.217679561744382e-03
